date,game,category,sales,first_commission,final_commission
q1-2018,BET SELF_2,bettting,1079,59.44,62.69
q1-2018,BET SELF_3,bettting,555,51.78,45.72
q1-2018,BET SELF_4,bettting,158,19.16,17.58
q1-2018,V-SOCCER SELF_1,virtual,0,0,0
q1-2018,V-SOCCER SELF_2,virtual,0,0,0
q1-2018,V-SOCCER SELF_3,virtual,0,0,0
q1-2018,V-SOCCER SELF_4,virtual,0,0,0
q2-2018,FINO,lottery,106116,7746.51,8024.33
q2-2018,JACKPOT,lottery,14565.5,1820.77,1803.72
q2-2018,LOTO,lottery,2630.5,386.75,394.54
q2-2018,SEVEN-IN-ROW,lottery,1003.5,111.43,124.35
q2-2018,LUCKY-3,lottery,642.5,56.58,58.9
q2-2018,PLUS-5,lottery,193,16.19,13.97
q2-2018,CAST WED,bettting,7.25,0.87,1.03
q2-2018,CAST SAT,bettting,59,7.08,8.37
q2-2018,CAST SUN,bettting,61.75,7.41,8.85
q2-2018,CASTGOALS,bettting,5.5,0.66,0.8
q2-2018,GREYHOUNDS,bettting,166.5,12.53,12.99
q2-2018,BET PRE_1,bettting,5533,138.48,161.61
q2-2018,BET PRE_2,bettting,4556.75,229.04,341.57
q2-2018,BET PRE_3,bettting,8332.25,709.82,748.3
q2-2018,BET PRE_4,bettting,16822.25,1856.78,2071.59
q2-2018,BET LIVE_1,bettting,0,0,0
q2-2018,BET LIVE_2,bettting,0,0,0
q2-2018,BET LIVE_3,bettting,0,0,0
q2-2018,BET LIVE_4,bettting,0,0,0
q2-2018,V-SOCCER,virtual,36991,1295.07,1354.79
q2-2018,BET SELF_1,bettting,8241.5,206.15,225.81
q2-2018,BET SELF_2,bettting,1129.5,56.83,73.97
q2-2018,BET SELF_3,bettting,612.5,52.13,48.59
q2-2018,BET SELF_4,bettting,250.25,27.57,28.12
q2-2018,V-SOCCER SELF_1,virtual,1275.5,44.75,50.3
q2-2018,V-SOCCER SELF_2,virtual,72.5,4.54,4.75
q2-2018,V-SOCCER SELF_3,virtual,95.25,7.76,6.9
q2-2018,V-SOCCER SELF_4,virtual,112,11.75,11.5
q3-2018,FINO,lottery,106998,7810.89,7924.51
q3-2018,JACKPOT,lottery,22458,2807.36,2894.24
q3-2018,LOTO,lottery,2124,312.24,292.18
q3-2018,SEVEN-IN-ROW,lottery,1182.5,131.29,151.37
q3-2018,LUCKY-3,lottery,562,49.47,53.73
q3-2018,PLUS-5,lottery,323.5,27.24,38.05
q3-2018,CAST WED,bettting,26.5,3.18,3.75
q3-2018,CAST SAT,bettting,49.25,5.91,6.98
q3-2018,CAST SUN,bettting,153.25,18.39,22.26
q3-2018,CASTGOALS,bettting,9.75,1.17,1.42
q3-2018,GREYHOUNDS,bettting,0,0,0
q3-2018,BET PRE_1,bettting,3028.25,75.7,108.82
q3-2018,BET PRE_2,bettting,1434.5,71.73,114.95
q3-2018,BET PRE_3,bettting,1028.75,87.46,111.41
q3-2018,BET PRE_4,bettting,2071,227.82,264.94
q3-2018,BET LIVE_1,bettting,0,0,0
q3-2018,BET LIVE_2,bettting,0,0,0
q3-2018,BET LIVE_3,bettting,0,0,0
q3-2018,BET LIVE_4,bettting,0,0,0
q3-2018,V-SOCCER,virtual,3784.5,132.46,109.72
q3-2018,BET_1,bettting,14052,351.42,387.53
q3-2018,BET_2,bettting,4973,248.74,309.28
q3-2018,BET_3,bettting,6046.25,514.03,452.93
q3-2018,BET_4,bettting,24972.25,2746.89,2747.17
q3-2018,V-SOCCER_1,virtual,88948.75,3291.15,3436.95
q3-2018,V-SOCCER_2,virtual,508.5,31.81,31.9
q3-2018,V-SOCCER_3,virtual,469.5,37.56,34.37
q3-2018,V-SOCCER_4,virtual,424.75,43.76,41.56
q4-2018,FINO,lottery,117363,8570.37,8445.81
q4-2018,JACKPOT,lottery,16408.5,2051.13,2028.58
q4-2018,LOTO,lottery,2279,335.01,321.23
q4-2018,SEVEN-IN-ROW,lottery,655.5,72.82,76.42
q4-2018,LUCKY-3,lottery,865.5,76.17,84.05
q4-2018,PLUS-5,lottery,436,36.63,69.19
q4-2018,CAST WED,bettting,68.5,8.22,9.47
q4-2018,CAST SAT,bettting,29.5,3.54,4.18
q4-2018,CAST SUN,bettting,72,8.64,10.21
q4-2018,CASTGOALS,bettting,0.25,0.03,0.04
q4-2018,GREYHOUNDS,bettting,0,0,0
q4-2018,BET PRE_1,bettting,0,0,0
q4-2018,BET PRE_2,bettting,0,0,0
q4-2018,BET PRE_3,bettting,0,0,0
q4-2018,BET PRE_4,bettting,0,0,0
q4-2018,BET LIVE_1,bettting,0,0,0
q4-2018,BET LIVE_2,bettting,0,0,0
q4-2018,BET LIVE_3,bettting,0,0,0
q4-2018,BET LIVE_4,bettting,0,0,0
q4-2018,V-SOCCER,virtual,0,0,0
q4-2018,BET_1,bettting,12568.5,315.1,342.08
q4-2018,BET_2,bettting,7145,357.38,401.38
