date,game,category,sales,first_commission,final_commission
q2-2022,CASTGOALS,bettting,6.25,0.93,0.92
q2-2022,LUCKYSPIN,virtual,28500.5,742.74,791.7
q2-2022,GREYHOUNDS,bettting,0,0,0
q2-2022,BET_1,bettting,13652,318.85,276.2
q2-2022,BET_2,bettting,4090.75,201.24,209.36
q2-2022,BET_3,bettting,2584.25,180.38,185
q2-2022,BET_4,bettting,10119.25,1002.37,967.48
q2-2022,V-SOCCER_1,virtual,20634.75,764.59,761.24
q2-2022,V-SOCCER_2,virtual,712,42.01,36.58
q2-2022,V-SOCCER_3,virtual,335.25,26.18,24.65
q2-2022,V-SOCCER_4,virtual,109,10.8,9.61
q3-2022,FINO,lottery,96019,6826.87,6887.78
q3-2022,FINO SELF,lottery,1726,80.81,86.9
q3-2022,JACKPOT,lottery,24807.5,3101.25,3253.88
q3-2022,LOTO,lottery,1765.5,256.1,253.34
q3-2022,SEVEN-IN-ROW,lottery,992,116.09,117.73
q3-2022,LUCKY-3,lottery,386,37.53,31.26
q3-2022,PLUS-5,lottery,346,33.5,37.23
q3-2022,CAST WED,bettting,39,5.57,5.9
q3-2022,CAST SAT,bettting,32.75,4.69,4.67
q3-2022,CAST SUN,bettting,116.75,16.7,16.74
q3-2022,CASTGOALS,bettting,13.75,2.04,2.02
q3-2022,LUCKYSPIN,virtual,39112.25,1019.25,1100.72
q3-2022,GREYHOUNDS,bettting,0.5,0.01,0.01
q3-2022,BET_1,bettting,21254.25,467.51,446.97
q3-2022,BET_2,bettting,4879.75,233.69,231.08
q3-2022,BET_3,bettting,6017.5,413.05,393.05
q3-2022,BET_4,bettting,17386,1680.11,1633.61
q3-2022,V-SOCCER_1,virtual,28057.75,981.98,1016.82
q3-2022,V-SOCCER_2,virtual,1083.5,63.95,59.24
q3-2022,V-SOCCER_3,virtual,458,35.76,32.86
q3-2022,V-SOCCER_4,virtual,201.25,19.89,17.18
q4-2022,FINO,lottery,90895,6632.85,6583.16
q4-2022,FINO SELF,lottery,835,39.25,41.26
q4-2022,JACKPOT,lottery,17496,2187.3,2086.3
q4-2022,LOTO,lottery,1117,162.14,154.97
q4-2022,SEVEN-IN-ROW,lottery,702,82.25,83.58
q4-2022,LUCKY-3,lottery,428.5,41.55,43.97
q4-2022,PLUS-5,lottery,257,24.93,34.74
q4-2022,CAST WED,bettting,0,0,0
q4-2022,CAST SAT,bettting,31.75,4.53,4.44
q4-2022,CAST SUN,bettting,35,4.99,5.05
q4-2022,CASTGOALS,bettting,0,0,0
q4-2022,LUCKYSPIN,virtual,21480.25,559.01,627.66
q4-2022,GREYHOUNDS,bettting,0,0,0
q4-2022,BET_1,bettting,26964.5,444.43,351
q4-2022,BET_2,bettting,9491.5,369.6,364.78
q4-2022,BET_3,bettting,6133.5,346.1,324.17
q4-2022,BET_4,bettting,19484.5,1575.91,1466.73
q4-2022,V-SOCCER_1,virtual,37818,1323.69,1323.75
q4-2022,V-SOCCER_2,virtual,9201.75,542.93,485.03
q4-2022,V-SOCCER_3,virtual,1094.75,85.43,77.53
q4-2022,V-SOCCER_4,virtual,229.5,22.71,20.24
q1-2023,FINO,lottery,110623,8083.92,8396.59
q1-2023,FINO SELF,lottery,1326.5,61.96,62.38
q1-2023,JACKPOT,lottery,15993.5,1999.41,2091.13
q1-2023,LOTO,lottery,1232.5,178.79,172.13
q1-2023,SEVEN-IN-ROW,lottery,690.5,80.84,93.82
q1-2023,LUCKY-3,lottery,330.5,32.16,33.38
q1-2023,PLUS-5,lottery,253.5,24.57,22.93
q1-2023,CAST WED,bettting,12,1.71,1.74
q1-2023,CAST SAT,bettting,40.5,5.79,6.12
q1-2023,CAST SUN,bettting,33.5,4.78,4.81
q1-2023,CASTGOALS,bettting,0,0,0
q1-2023,LUCKYSPIN,virtual,29700.25,773.42,866.18
q1-2023,GREYHOUNDS,bettting,0,0,0
q1-2023,BET_1,bettting,16514.5,247.19,258.81
q1-2023,BET_2,bettting,6142,215.07,246.74
q1-2023,BET_3,bettting,3781.75,189.26,214.29
q1-2023,BET_4,bettting,17898,1288.6,1458.45
q1-2023,V-SOCCER_1,virtual,23072,807.62,802.56
q1-2023,V-SOCCER_2,virtual,1452.5,85.69,76.64
q1-2023,V-SOCCER_3,virtual,327.25,25.57,23.63
q1-2023,V-SOCCER_4,virtual,147.75,14.63,13.3
